title,genres,description,url,price,discount,original_price,launch_date,is_error,reviews,general_reviews,tags
R.E.P.O.,Acción-Roguelike,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.",https://store.steampowered.com/app/3241660/REPO,"9,75€",,,26 FEB 2025,0,63.401 reseñas de usuarios,Extremadamente positivas,Terror-Cooperativos en línea-Comedia-Multijugador-Cooperativos
Schedule I,Acción-Agricultura y fabricación-Construcción y automatización-Simulación,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",https://store.steampowered.com/app/3164500/Schedule_I,"16,57€",-15%,"19,50€",24 MAR 2025,0,25.301 reseñas de usuarios,Extremadamente positivas,Cooperativos-Simulación-Crimen-Mundo abierto-Multijugador
Counter-Strike 2,Acción-Disparos en primera persona-Militares,"Durante las dos últimas décadas, Counter‑Strike ha proporcionado una experiencia competitiva de primer nivel para los millones de jugadores de todo el mundo que contribuyeron a darle forma. Ahora el próximo capítulo en la historia de CS está a punto de comenzar. Hablamos de Counter‑Strike 2.",https://store.steampowered.com/app/730/CounterStrike_2,0€,,,21 AGO 2012,0,8.679.136 reseñas de usuarios,Muy positivas,FPS-Disparos-Multijugador-Competitivos-Acción
Split Fiction,Acción-Aventura-Buena trama-Plataforma y corredores,"Vive momentos alucinantes mientras te adentras en los múltiples mundos de Split Fiction, una aventura cooperativa que va más allá de los límites.",https://store.steampowered.com/app/2001120/Split_Fiction,"49,99€",,,6 MAR 2025,0,38.394 reseñas de usuarios,Extremadamente positivas,Cooperativos-Pantalla dividida-Protagonista femenina-Acción y aventura
Assassin’s Creed Shadows,Acción-Aventura-Rol-Rol de acción-Rol de aventuras,¡Sumérgete en una épica historia de acción y aventura ambientada en el Japón feudal! Explora un fascinante mundo abierto durante una época turbulenta en la piel de una letal Assassin shinobi y un legendario y poderoso samurái.,https://store.steampowered.com/app/3159330/Assassins_Creed_Shadows,"69,99€",,,20 MAR 2025,0,12.010 reseñas de usuarios,Muy positivas,Acción-Aventura-Mundo abierto-Combate-3D
The First Berserker: Khazan,Acción-Buena trama-Hack and slash-Rol-Rol de acción-Rol de aventuras,"The First Berserker: Khazan es un intenso juego de rol de acción. El jugador se convertirá en Khazan, el gran general del imperio Pell Los, que superó la muerte y se propone revelar los incidentes que llevaron a su caída y vengarse de sus enemigos.",https://store.steampowered.com/app/2680010/The_First_Berserker_Khazan,"59,99€",,,27 MAR 2025,0,4189 reseñas de usuarios,Muy positivas,Tipo «Dark Souls»-Difíciles-Hack and slash-Rol de acción-Acción y aventura
PUBG: BATTLEGROUNDS,Acción-Disparos en primera persona-Disparos en tercera persona,"¡PUBG: BATTLEGROUNDS, el shooter con mucho que perder y todo que ganar que empezó el boom de los Battle Royale, es gratuito! Aterriza en mapas muy diversos, saquea armas y suministros únicos, y sobrevive en una zona menguante en la que cada turno podría ser el último.",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS,0€,,,21 DIC 2017,0,2.525.344 reseñas de usuarios,Variadas,Supervivencia-Disparos-Battle Royale-Multijugador-FPS
Hogwarts Legacy,Acción-Aventura-Buena trama-Rol-Rol de acción-Rol de aventuras,Hogwarts Legacy es un RPG inmersivo de acción en mundo abierto. Ahora puedes tomar el control de la acción y ser el centro de tu propia aventura en el mundo mágico.,https://store.steampowered.com/app/990080/Hogwarts_Legacy,"14,99€",-75%,"59,99€",10 FEB 2023,0,227.151 reseñas de usuarios,Muy positivas,Magia-Mundo abierto-Fantasía-Un jugador-Aventura
Rust,Acción-Aventura-Construcción y automatización-Disparos en primera persona,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",https://store.steampowered.com/app/252490/Rust,"23,99€",-40%,"39,99€",8 FEB 2018,0,1.000.352 reseñas de usuarios,Muy positivas,Supervivencia-Fabricación-Multijugador-Mundo abierto
Lost Ark,Acción-Aventura-Hack and slash-Rol-Rol de acción-Rol de aventuras,"Embárcate en una odisea en el gigantesco y vibrante mundo de Lost Ark: explora lugares desconocidos, busca tesoros perdidos y ponte a prueba con la emocionante acción y combate de este RPG de acción gratuito. ",https://store.steampowered.com/app/1599340/Lost_Ark,0€,,,11 FEB 2022,0,201.727 reseñas de usuarios,Mayormente positivas,MMORPG-Free to Play-Rol de acción-Multijugador-Hack and slash
THRONE AND LIBERTY,Acción-Aventura-Rol-Rol de aventuras,"Esto es THRONE AND LIBERTY, un juego de rol multijugador masivo en línea gratuito para varias plataformas. Explora entornos en constante evolución, libra batallas JcJcE de gran escala y metamorfoséate en criaturas para luchar por tierra, mar y aire.",https://store.steampowered.com/app/2429640/THRONE_AND_LIBERTY,0€,,,1 OCT 2024,0,61.611 reseñas de usuarios,Variadas,MMORPG-Free to Play-Multijugador masivo-Mundo abierto-Rol
AI LIMIT,Acción-Aventura-Rol-Rol de acción-Rol de aventuras,"En este ARPG post-apocalíptico de ciencia ficción, el papel suyo será una Bio-Androide que se llama ”Alisa”, que posee la capacidad de regeneración, que explora ruinas de la ciudad “Haven’s Well”, que infestados de monstruos y descubre la verdad del apocalipsis mientras busca una nueva esperanza.",https://store.steampowered.com/app/2407270/AI_LIMIT,"31,49€",-10%,"34,99€",27 MAR 2025,0,2474 reseñas de usuarios,Muy positivas,Tipo «Dark Souls»-Anime-Protagonista femenina-Rol de acción-Posapocalípticos
Warframe,Acción-Rol-Rol de acción,Despierta como un guerrero imparable y lucha junto a tus amigos en este juego de acción gratuito en línea y basado en historias.,https://store.steampowered.com/app/230410/Warframe,0€,,,,0,613.346 reseñas de usuarios,Muy positivas,Free to Play-Rol de acción-Disparos y botín-Disparos en tercera persona-Acción
