genre,n,success_rate,ROC_AUC
Shooter,30,0.13333333333333333,0.9711538461538461
Action-Adventure,53,0.24528301886792453,0.9153846153846154
Adventure,47,0.3617021276595745,0.8921568627450981
Sports,49,0.1836734693877551,0.8916666666666666
Action,85,0.29411764705882354,0.8913333333333333
Role-Playing,86,0.19767441860465115,0.8823529411764706
Racing,49,0.16326530612244897,0.8810975609756098
Platform,43,0.16279069767441862,0.8571428571428572
Simulation,53,0.20754716981132076,0.761904761904762
Visual Novel,48,0.10416666666666667,0.7348837209302326
