genre,title_count,avg_sales_per_title,median_sales_per_title,top10_share_pct,title_hhi,concentration_norm,sales_norm,attractiveness_raw,attractiveness_score
Sandbox,1,3.3600,3.3600,100.00,1.00000,1.0000,1.0000,0.0000,60.00
Shooter,476,1.5726,0.2550,33.27,0.01654,0.0083,0.0704,0.2105,43.89
Sports,761,0.9408,0.2000,20.81,0.00834,0.0000,0.0539,0.1787,43.23
Action-Adventure,117,1.2581,0.2700,58.02,0.05067,0.0427,0.0749,0.1841,42.78
Racing,382,0.6334,0.1550,25.29,0.01198,0.0037,0.0404,0.1346,42.28
Platform,240,0.6157,0.1650,35.86,0.01929,0.0110,0.0434,0.1338,42.16
Action,1135,0.6586,0.1200,23.57,0.01297,0.0047,0.0299,0.1052,41.61
Fighting,313,0.4901,0.1200,33.57,0.01718,0.0089,0.0299,0.0988,41.44
Role-Playing,844,0.3595,0.1000,29.40,0.01393,0.0056,0.0240,0.0847,41.21
Simulation,701,0.2878,0.0800,25.76,0.01265,0.0043,0.0180,0.0693,40.90
Misc,1146,0.3495,0.0700,22.49,0.00931,0.0010,0.0150,0.0619,40.86
Puzzle,433,0.1520,0.0600,23.38,0.01008,0.0018,0.0120,0.0528,40.65
Strategy,423,0.1376,0.0400,25.75,0.01136,0.0031,0.0060,0.0347,40.24
Adventure,1171,0.1841,0.0300,29.74,0.01461,0.0063,0.0030,0.0253,39.93
Visual Novel,177,0.0312,0.0200,28.99,0.01399,0.0057,0.0000,0.0170,39.77
Music,82,0.6340,0.1350,74.40,0.07638,0.0686,0.0344,0.0790,39.32
Party,22,0.2745,0.1450,87.42,0.09383,0.0862,0.0374,0.0739,38.80
Mmo,15,0.6093,0.2400,93.65,0.18563,0.1788,0.0659,0.1039,36.80
Education,2,0.3800,0.3800,100.00,0.56787,0.5642,0.1078,0.0807,23.90
Board Game,3,0.1100,0.0200,100.00,0.83104,0.8296,0.0000,0.0017,6.82
