genre,platform,release_count,total_sales,avg_sales_per_release,median_sales_per_release,genre_share_of_platform_pct,rank_in_genre
Action,PS3,267,191.86,0.7186,0.2800,23.07,1
Action,X360,231,162.26,0.7024,0.2600,19.10,2
Action,WII,176,63.12,0.3586,0.1900,13.86,3
Action,XONE,102,45.21,0.4432,0.1200,18.27,4
Action,PS4,176,92.22,0.5240,0.1200,17.32,5
Action,3DS,113,16.97,0.1502,0.0700,19.65,6
Action,WIIU,25,5.65,0.2260,0.0700,49.56,7
Action,NS,45,7.32,0.1627,0.0600,41.54,8
Action,PSV,139,11.72,0.0843,0.0300,26.86,9
Action,PC,103,8.99,0.0873,0.0200,8.24,10
Action-Adventure,X360,26,24.42,0.9392,0.5050,2.88,1
Action-Adventure,PS3,30,26.14,0.8713,0.3900,3.14,2
Action-Adventure,XONE,41,22.52,0.5493,0.2300,9.10,3
Action-Adventure,PS4,56,51.01,0.9109,0.2250,9.58,4
Action-Adventure,3DS,30,6.47,0.2157,0.1800,7.49,5
Action-Adventure,WIIU,24,5.75,0.2396,0.1350,50.44,6
Adventure,WII,121,34.99,0.2892,0.1300,7.68,1
Adventure,PS3,72,23.70,0.3292,0.1200,2.85,2
Adventure,X360,67,27.66,0.4128,0.1100,3.26,3
Adventure,3DS,42,4.81,0.1145,0.0750,5.57,4
Adventure,PS4,74,11.81,0.1596,0.0600,2.22,5
Adventure,XONE,34,3.61,0.1062,0.0500,1.46,6
Adventure,PSV,167,6.17,0.0369,0.0200,14.14,7
Adventure,PC,150,2.94,0.0196,0.0100,2.69,8
Fighting,PS3,73,45.94,0.6293,0.4000,5.52,1
Fighting,X360,64,36.55,0.5711,0.3450,4.30,2
Fighting,PS4,41,15.51,0.3783,0.1600,2.91,3
Fighting,WII,44,9.84,0.2236,0.1050,2.16,4
Misc,WII,283,122.20,0.4318,0.1900,26.83,1
Misc,X360,130,53.62,0.4125,0.1750,6.31,2
Misc,PS3,165,56.23,0.3408,0.1300,6.76,3
Misc,3DS,66,8.46,0.1282,0.0650,9.80,4
Misc,PS4,31,12.22,0.3942,0.0600,2.30,5
Misc,NS,21,1.73,0.0824,0.0300,9.82,6
Misc,PSV,51,8.56,0.1678,0.0200,19.62,7
Misc,PC,45,1.13,0.0251,0.0100,1.04,8
Music,X360,20,9.40,0.4700,0.2300,1.11,1
Music,WII,22,18.18,0.8264,0.2200,3.99,2
Music,PS4,24,5.70,0.2375,0.1350,1.07,3
Platform,PS3,40,21.24,0.5310,0.4200,2.55,1
Platform,X360,33,17.16,0.5200,0.2900,2.02,2
Platform,WII,47,16.46,0.3502,0.2100,3.61,3
Platform,3DS,33,7.93,0.2403,0.1500,9.18,4
Platform,XONE,22,4.42,0.2009,0.1450,1.79,5
Platform,PS4,37,15.17,0.4100,0.1100,2.85,6
Platform,NS,30,5.51,0.1837,0.0500,31.27,7
Puzzle,3DS,33,5.64,0.1709,0.0900,6.53,1
Puzzle,WII,59,8.60,0.1458,0.0600,1.89,2
Puzzle,PC,72,0.93,0.0129,0.0000,0.85,3
Racing,PS3,94,51.45,0.5473,0.2500,6.19,1
Racing,X360,109,64.20,0.5890,0.2300,7.56,2
Racing,PS4,60,21.01,0.3502,0.1300,3.95,3
Racing,WII,107,25.28,0.2363,0.1000,5.55,4
Racing,XONE,57,14.50,0.2544,0.0800,5.86,5
Racing,PC,79,3.70,0.0468,0.0200,3.39,6
Role-Playing,X360,75,65.05,0.8673,0.2900,7.66,1
Role-Playing,PS3,100,57.72,0.5772,0.2150,6.94,2
Role-Playing,WII,25,5.45,0.2180,0.1900,1.20,3
Role-Playing,3DS,73,17.24,0.2362,0.1200,19.97,4
