genre,platform,platform_rank_in_genre,recommended_region,market_attractiveness_score,trend_score,publisher_opportunity_score,entrant_accessibility_score,platform_fit_score,regional_opportunity_score,recommended_region_skew_pct,launch_score,launch_decision,primary_risk
Action-Adventure,X360,1,PAL,42.78,100.00,86.02,53.8461538461538462,95.54,47.37,0.85,68.44,CONDITIONAL,No single dominant red flag
Action-Adventure,PS3,2,PAL,42.78,100.00,86.02,53.8461538461538462,93.75,47.37,0.85,68.17,CONDITIONAL,No single dominant red flag
Action-Adventure,PS4,4,PAL,42.78,100.00,86.02,53.8461538461538462,72.25,47.37,0.85,64.94,CONDITIONAL,No single dominant red flag
Strategy,X360,1,JP,40.24,41.26,97.96,47.5000000000000000,95.54,89.47,3.61,63.72,CONDITIONAL,No single dominant red flag
Strategy,PS3,2,JP,40.24,41.26,97.96,47.5000000000000000,93.75,89.47,3.61,63.45,CONDITIONAL,No single dominant red flag
Shooter,X360,4,PAL,43.89,98.26,78.09,17.2839506172839506,95.54,73.68,1.88,62.58,CONDITIONAL,High entry risk
Action-Adventure,XONE,3,PAL,42.78,100.00,86.02,53.8461538461538462,55.56,47.37,0.85,62.44,CONDITIONAL,No single dominant red flag
Shooter,PS3,2,PAL,43.89,98.26,78.09,17.2839506172839506,93.75,73.68,1.88,62.31,CONDITIONAL,High entry risk
Role-Playing,X360,1,JP,41.21,60.89,94.32,22.4299065420560748,95.54,94.74,12.66,61.87,CONDITIONAL,No single dominant red flag
Role-Playing,PS3,2,JP,41.21,60.89,94.32,22.4299065420560748,93.75,94.74,12.66,61.61,CONDITIONAL,No single dominant red flag
Visual Novel,PS3,1,JP,39.77,46.88,95.11,59.1836734693877551,93.75,36.84,0.63,60.82,CONDITIONAL,No single dominant red flag
Strategy,PS4,4,JP,40.24,41.26,97.96,47.5000000000000000,72.25,89.47,3.61,60.23,CONDITIONAL,No single dominant red flag
Strategy,WII,3,JP,40.24,41.26,97.96,47.5000000000000000,71.70,89.47,3.61,60.15,CONDITIONAL,No single dominant red flag
