genre,region,region_genre_share_pct,global_genre_share_pct,skew_pct,allocation_index,recommended_budget_pct,recommended_budget_millions
Action,PAL,17.92,17.04,0.89,58.32,41.67,
Action,NA,17.55,17.04,0.51,58.01,41.45,
Action,OTHER,17.30,17.04,0.27,19.34,13.82,
Action,JP,11.74,17.04,-5.30,4.28,3.06,
Action-Adventure,PAL,3.10,2.25,0.85,64.01,45.73,
Action-Adventure,NA,1.94,2.25,-0.30,39.66,28.33,
Action-Adventure,OTHER,2.83,2.25,0.59,34.12,24.38,
Action-Adventure,JP,0.79,2.25,-1.46,2.18,1.56,
Adventure,JP,6.72,4.93,1.79,48.45,34.62,
Adventure,PAL,4.75,4.93,-0.19,43.43,31.04,
Adventure,NA,4.73,4.93,-0.20,42.51,30.38,
Adventure,OTHER,4.62,4.93,-0.31,5.54,3.96,
Board Game,PAL,0.01,0.01,0.01,80.00,78.57,
Board Game,NA,0.00,0.01,0.00,10.91,10.71,
Board Game,JP,0.01,0.01,0.00,7.27,7.14,
Board Game,OTHER,0.00,0.01,0.00,3.64,3.57,
Education,JP,,0.01,,,,
Education,NA,0.02,0.01,0.00,40.91,68.97,
Education,PAL,0.01,0.01,0.00,13.64,22.99,
Education,OTHER,0.01,0.01,0.00,4.77,8.04,
Fighting,NA,5.15,5.13,0.03,57.24,40.89,
Fighting,JP,8.60,5.13,3.47,50.40,36.00,
Fighting,OTHER,4.35,5.13,-0.78,18.35,13.11,
Fighting,PAL,4.12,5.13,-1.01,14.00,10.00,
Misc,NA,8.72,8.32,0.40,58.54,41.84,
Misc,OTHER,8.88,8.32,0.56,46.31,33.10,
Misc,JP,8.06,8.32,-0.26,19.34,13.82,
Misc,PAL,7.51,8.32,-0.81,15.73,11.24,
Mmo,JP,0.20,0.14,0.05,48.56,34.69,
Mmo,OTHER,0.16,0.14,0.02,33.26,23.76,
Mmo,PAL,0.15,0.14,0.01,32.04,22.89,
Mmo,NA,0.12,0.14,-0.02,26.13,18.67,
Music,JP,0.86,0.79,0.07,46.74,33.38,
Music,PAL,0.79,0.79,0.00,44.14,31.52,
Music,NA,0.78,0.79,-0.01,43.40,31.00,
Music,OTHER,0.76,0.79,-0.02,5.74,4.10,
Party,JP,0.17,0.09,0.08,51.50,40.72,
Party,PAL,0.09,0.09,0.00,44.16,34.91,
Party,NA,0.08,0.09,-0.01,25.80,20.40,
Party,OTHER,0.08,0.09,-0.01,5.02,3.97,
Platform,NA,5.69,5.34,0.34,72.39,51.73,
Platform,PAL,5.24,5.34,-0.10,43.75,31.26,
Platform,OTHER,4.73,5.34,-0.61,18.57,13.27,
Platform,JP,4.51,5.34,-0.83,5.24,3.75,
Puzzle,NA,1.94,1.93,0.01,57.20,40.93,
Puzzle,JP,4.21,1.93,2.28,53.54,38.30,
Puzzle,PAL,1.35,1.93,-0.58,25.53,18.26,
Puzzle,OTHER,1.14,1.93,-0.79,3.50,2.51,
Racing,PAL,9.31,7.93,1.39,60.46,43.19,
Racing,NA,8.05,7.93,0.12,44.23,31.60,
Racing,OTHER,8.50,7.93,0.57,33.01,23.58,
Racing,JP,2.91,7.93,-5.02,2.27,1.62,
Role-Playing,JP,19.12,6.46,12.66,58.37,41.68,
Role-Playing,NA,5.12,6.46,-1.34,37.44,26.73,
Role-Playing,OTHER,5.19,6.46,-1.27,31.42,22.44,
Role-Playing,PAL,4.75,6.46,-1.71,12.80,9.14,
Sandbox,JP,0.13,0.05,0.08,56.07,44.33,
Sandbox,PAL,0.05,0.05,0.00,45.42,35.90,
Sandbox,NA,0.04,0.05,-0.02,21.25,16.80,
Sandbox,OTHER,0.03,0.05,-0.02,3.75,2.96,
Shooter,PAL,17.00,15.12,1.88,59.59,42.57,
Shooter,NA,15.84,15.12,0.72,45.21,32.29,
Shooter,OTHER,16.71,15.12,1.59,33.20,23.72,
Shooter,JP,4.87,15.12,-10.25,2.00,1.43,
Simulation,NA,4.57,4.55,0.01,57.19,40.88,
Simulation,JP,5.27,4.55,0.72,47.18,33.73,
Simulation,PAL,4.53,4.55,-0.03,30.66,21.91,
Simulation,OTHER,3.74,4.55,-0.81,4.86,3.47,
Sports,NA,18.25,18.03,0.22,57.46,41.05,
Sports,OTHER,19.79,18.03,1.76,46.49,33.22,
Sports,PAL,17.88,18.03,-0.15,30.61,21.87,
Sports,JP,15.72,18.03,-2.31,5.41,3.87,
Strategy,JP,5.40,1.80,3.61,58.66,41.92,
Strategy,PAL,1.41,1.80,-0.38,40.39,28.86,
Strategy,NA,1.41,1.80,-0.39,37.19,26.58,
Strategy,OTHER,1.13,1.80,-0.67,3.70,2.65,
Visual Novel,JP,0.72,0.09,0.63,92.40,73.14,
Visual Novel,NA,0.01,0.09,-0.07,18.68,14.78,
Visual Novel,OTHER,0.02,0.09,-0.07,14.73,11.66,
Visual Novel,PAL,0.00,0.09,-0.08,0.53,0.42,
