publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
08-Apr,Role-Playing,Undertale,2018,0.0200,0.0500,0.40,weak entry
10tacle Studios,Puzzle,Boulder Dash: Rocks!,2007,0.0300,0.0600,0.50,below median
10tacle Studios,Racing,Gtr 2: Fia Gt Racing Game,2006,0.0000,0.0800,0.00,weak entry
11 Bit Studios,Action,This War Of Mine,2016,0.0400,0.0700,0.57,below median
1c Company,Racing,Off-Road Drive,2011,0.0400,0.1300,0.31,weak entry
1c Company,Shooter,Necrovision,2009,0.0100,0.1300,0.08,weak entry
1c Company,Strategy,King'S Bounty: Armored Princess,2009,0.0100,0.0300,0.33,weak entry
1c Maddox Games,Action,Il-2 Sturmovik: Battle Of Stalingrad,2014,0.0000,0.1450,0.00,weak entry
2k Games,Action,The Da Vinci Code,2006,0.1800,0.0800,2.25,strong breakout
2k Games,Action-Adventure,Mafia Iii,2016,3.9800,0.2550,15.61,strong breakout
2k Games,Misc,New Carnival Games,2010,0.8400,0.1100,7.64,strong breakout
2k Games,Party,Carnival Games,2018,0.3700,0.0500,7.40,strong breakout
2k Games,Role-Playing,Dungeon Siege Ii: Broken World,2006,0.0100,0.0600,0.17,weak entry
2k Games,Simulation,Sid Meier'S Railroads!,2006,0.0400,0.0400,1.00,above median
2k Games,Sports,Don King Presents: Prizefighter,2008,0.2500,0.1700,1.47,above median
2k Play,Action,Go Diego Go! Great Dinosaur Rescue,2008,1.0600,0.1600,6.63,strong breakout
2k Play,Adventure,"Go, Diego, Go! Safari Rescue",2007,0.1500,0.0400,3.75,strong breakout
2k Play,Misc,Carnival Games,2008,2.0400,0.1200,17.00,strong breakout
2k Play,Party,Carnival Games: Wild West 3d,2011,0.0900,0.0900,1.00,above median
2k Play,Platform,Dora The Explorer: Dora Saves The Mermaids,2007,1.0500,0.3500,3.00,strong breakout
2k Play,Sports,Carnival Games: Mini Golf,2008,1.5600,0.1700,9.18,strong breakout
2k Play,Strategy,Dora & Kai-Lan'S Pet Shelter,2011,0.1000,0.0750,1.33,above median
2k Sports,Fighting,Wwe 2k14,2013,2.3200,0.1700,13.65,strong breakout
