genre,title_count,genre_evidence_quality,hhi,top5_share,concentration_level,concentration_accessibility_score,entrant_count,successful_entrants,smoothed_success_rate,entrant_accessibility_score,competitive_accessibility_score
Puzzle,721,HIGH,0.041447060518255703607393,0.35821481888897619235,LOW,100.00,162,32,0.19485802753804598458,68.42,84.21
Adventure,1904,HIGH,0.0448935588520655386840534,0.37508454774641825001,LOW,94.74,323,59,0.18172847068031204009,63.16,78.95
Fighting,865,HIGH,0.0724587023751014383086129,0.47724113454201295436,LOW,68.42,121,27,0.21767618882857946067,78.95,73.69
Visual Novel,214,HIGH,0.079260678505724117536,0.52584670231729055259,LOW,57.89,56,16,0.26538758691733195982,84.21,71.05
Party,29,MEDIUM,0.281404207540173373644,0.88566827697262479872,HIGH,26.32,19,7,0.29364071505323825339,100.00,63.16
Platform,939,HIGH,0.0759154402615188033132674,0.53976546750333626736,LOW,63.16,151,26,0.17090422817729136241,52.63,57.90
Misc,1972,HIGH,0.0493167700910645660747861,0.40449888803820773635,LOW,89.47,298,41,0.13803759979397373165,26.32,57.90
Action,2827,HIGH,0.05814433957922559359549225,0.44680756356384872872,LOW,73.68,312,43,0.13824714514454630232,36.84,55.26
Strategy,814,HIGH,0.050669134409449636865506,0.39888541754622984042,LOW,84.21,173,21,0.12303596030898311119,15.79,50.00
Action-Adventure,266,HIGH,0.166973147695476720895835,0.75765753609499392794,MODERATE,42.11,66,12,0.17783658863873564932,57.89,50.00
Racing,1423,HIGH,0.0905255527127320942911816,0.50022000726980543704,LOW,52.63,211,29,0.13807955084409008755,31.58,42.11
Role-Playing,1488,HIGH,0.0575334105207926198522890,0.43321909769494389935,LOW,78.95,213,21,0.10096672976028658901,0.00,39.48
Shooter,1478,HIGH,0.1753506446161859621543540,0.68835025482563505758,MODERATE,31.58,206,33,0.15979435526177735809,42.11,36.85
Music,147,HIGH,0.45766517234198166671413,0.85535679938449701866,HIGH,15.79,34,6,0.17080865310327066701,47.37,31.58
Simulation,1121,HIGH,0.126117890381818949098480,0.62657384584637932183,LOW,47.37,248,26,0.10664953773854228430,5.26,26.32
Sports,2603,HIGH,0.16824868028765945467870672,0.66534601828719475778,MODERATE,36.84,219,23,0.10705493771416554301,10.53,23.69
Mmo,31,MEDIUM,0.43082032280124615047,0.99999999999999999999,HIGH,21.05,6,3,0.28222379603399433428,,
Education,3,LOW,0.51652892561983471074,1.00000000000000000000,HIGH,10.53,2,1,0.20963172804532577903,,
Board Game,3,LOW,0.83103764921946740129,1.00000000000000000000,HIGH,5.26,3,2,0.27042928742645456526,,
Sandbox,2,LOW,1.00000000000000000000,1.00000000000000000000,HIGH,0.00,1,0,0.13778006695853721349,,
