genre,platform,title_count,avg_sales,median_sales,median_sales_pct,avg_sales_pct,genre_platform_fit_score
Action,PS4,179,0.51614525139664804469,0.12,0.5,1,70.00
Action,XONE,102,0.44323529411764705882,0.12,0.5,0.5,50.00
Action,PC,152,0.07677631578947368421,0.01,0,0,0.00
Action-Adventure,XONE,41,0.54926829268292682927,0.23,1,0.5,80.00
Action-Adventure,PS4,59,0.86966101694915254237,0.21,0.5,1,70.00
Action-Adventure,PC,12,0.22833333333333333333,0.11,0,0,0.00
Adventure,PS4,76,0.15828947368421052632,0.065,1,1,100.00
Adventure,XONE,34,0.10617647058823529412,0.05,0.5,0.5,50.00
Adventure,PC,197,0.03081218274111675127,0,0,0,0.00
Fighting,PS4,41,0.37829268292682926829,0.16,1,1,100.00
Fighting,XONE,16,0.34312500000000000000,0.15500000000000003,0.5,0.5,50.00
Fighting,PC,12,0.03333333333333333333,0.015,0,0,0.00
Misc,XONE,16,0.52000000000000000000,0.115,1,1,100.00
Misc,PS4,32,0.38218750000000000000,0.055,0.5,0.5,50.00
Misc,PC,55,0.12200000000000000000,0.01,0,0,0.00
Music,XONE,13,0.35076923076923076923,0.34,1,1,100.00
Music,PS4,24,0.23750000000000000000,0.135,0,0,0.00
Platform,XONE,22,0.20090909090909090909,0.14500000000000002,1,0.5,80.00
Platform,PS4,38,0.39973684210526315789,0.095,0.5,1,70.00
Platform,PC,29,0.01793103448275862069,0,0,0,0.00
Puzzle,PS4,12,0.08416666666666666667,0.04,1,1,100.00
Puzzle,PC,73,0.01287671232876712329,0,0,0,0.00
Racing,PS4,60,0.35016666666666666667,0.13,1,1,100.00
Racing,XONE,57,0.25438596491228070175,0.08,0.5,0.5,50.00
Racing,PC,105,0.03961904761904761905,0.01,0,0,0.00
Role-Playing,PS4,122,0.38377049180327868852,0.09,1,0.5,80.00
Role-Playing,XONE,35,0.41657142857142857143,0.05,0.5,1,70.00
Role-Playing,PC,122,0.12598360655737704918,0.02,0,0,0.00
Shooter,XONE,64,1.4101562500000000,0.575,1,0.5,80.00
Shooter,PS4,82,1.7646341463414634,0.48,0.5,1,70.00
Shooter,PC,212,0.17438679245283018868,0.02,0,0,0.00
Simulation,PS4,41,0.15804878048780487805,0.05,0.5,0.5,50.00
Simulation,PC,202,0.25024752475247524752,0.02,0,1,40.00
Simulation,XONE,29,0.12068965517241379310,0.05,0.5,0,30.00
Sports,PS4,82,1.3273170731707317,0.51,1,1,100.00
Sports,XONE,68,0.71764705882352941176,0.22999999999999998,0.5,0.5,50.00
Sports,PC,103,0.09747572815533980583,0.01,0,0,0.00
Strategy,PS4,29,0.05586206896551724138,0.04,1,0,60.00
Strategy,XONE,17,0.06352941176470588235,0.02,0.5,0.5,50.00
Strategy,PC,276,0.07456521739130434783,0.01,0,1,40.00
Visual Novel,PS4,16,0.03437500000000000000,0.02,0,0,0.00
