genre,title_count,evidence_quality,demand_potential_score,momentum_score,momentum_direction,competitive_accessibility_score,best_platform_fit_score,best_historical_platform,best_regional_score,best_historical_region,opportunity_score,evidence_quality_final
Action-Adventure,266,HIGH,97.50,68.42,NEGATIVE,50.00,100.00,X360,83.33,PAL,79.64,HIGH
Fighting,865,HIGH,71.25,47.37,NEGATIVE,73.69,100.00,PS3,83.33,North America,75.84,HIGH
Sports,2603,HIGH,91.25,94.74,POSITIVE,23.69,100.00,PS4,83.33,North America,75.45,HIGH
Shooter,1478,HIGH,92.50,63.16,NEGATIVE,36.85,93.33,XONE,83.33,PAL,72.98,HIGH
Platform,939,HIGH,76.25,15.79,NEGATIVE,57.90,100.00,NES,100.00,North America,70.91,HIGH
Action,2827,HIGH,70.00,10.53,NEGATIVE,55.26,96.67,PS3,83.33,PAL,64.73,HIGH
Misc,1972,HIGH,33.75,36.84,NEGATIVE,57.90,100.00,PS,83.33,North America,60.94,HIGH
Visual Novel,214,HIGH,0.00,52.63,NEGATIVE,71.05,100.00,PS3,100.00,Japan,60.66,HIGH
Party,29,MEDIUM,36.25,100.00,POSITIVE,63.16,,,66.67,Japan,59.85,MEDIUM
Racing,1423,HIGH,55.00,21.05,NEGATIVE,42.11,96.25,PS2,83.33,PAL,59.18,HIGH
Mmo,31,MEDIUM,50.00,89.47,POSITIVE,,,,66.67,Japan,58.42,MEDIUM
Puzzle,721,HIGH,18.75,0.00,NEGATIVE,84.21,100.00,SNES,83.33,Japan,58.24,HIGH
Music,147,HIGH,63.75,31.58,NEGATIVE,31.58,86.67,XONE,66.67,Japan,55.90,HIGH
Simulation,1121,HIGH,27.50,57.89,NEGATIVE,26.32,100.00,GC,83.33,North America,54.64,HIGH
Adventure,1904,HIGH,8.75,26.32,NEGATIVE,78.95,91.76,GBA,66.67,Japan,54.23,HIGH
Strategy,814,HIGH,10.00,42.11,NEGATIVE,50.00,94.67,SNES,83.33,Japan,52.75,HIGH
Role-Playing,1488,HIGH,36.25,5.26,NEGATIVE,39.48,96.67,X360,83.33,Japan,51.56,HIGH
