genre,region,regional_sales,genre_total,regional_share,overall_region_share,over_index,demand_component,over_index_component,regional_opportunity_score
Action,PAL,343.05,1123.28,0.30540025639199487216,0.29029679845913523515,1.05202764209948989282,66.67,100.00,83.33
Action,North America,586.80,1123.28,0.52239868955202620896,0.50708555135963116308,1.03019833271000613536,100.00,66.67,83.33
Action,Other,112.41,1123.28,0.10007300049853999003,0.09853041539651485509,1.01565592812957630257,33.33,33.33,33.33
Action,Japan,80.05,1123.28,0.07126451107470977851,0.10341386474968530567,0.68911950295259263589,0.00,0.00,0.00
Action-Adventure,PAL,59.31,148.22,0.40014842801241397922,0.29029679845913523515,1.37841144007222814269,66.67,100.00,83.33
Action-Adventure,North America,65.02,148.22,0.43867224396167858589,0.50708555135963116308,0.86508527562160208752,100.00,33.33,66.67
Action-Adventure,Other,18.41,148.22,0.12420725947915261098,0.09853041539651485509,1.26059815113238605315,33.33,66.67,50.00
Action-Adventure,Japan,5.40,148.22,0.03643233031979489947,0.10341386474968530567,0.35229638122489533149,0.00,0.00,0.00
Adventure,Japan,45.83,325.26,0.14090266248539629835,0.10341386474968530567,1.36251229780893642934,33.33,100.00,66.67
Adventure,PAL,90.87,325.26,0.27937649880095923261,0.29029679845913523515,0.96238229385876867927,66.67,66.67,66.67
Adventure,North America,158.17,325.26,0.48628789276271290660,0.50708555135963116308,0.95898589786052036962,100.00,33.33,66.67
Adventure,Other,30.04,325.26,0.09235688372379019861,0.09853041539651485509,0.93734389885721498671,0.00,0.00,0.00
Board Game,PAL,0.22,0.33,0.66666666666666666667,0.29029679845913523515,2.29650023770590294285,100.00,100.00,100.00
Board Game,Japan,0.04,0.33,0.12121212121212121212,0.10341386474968530567,1.17210706229301876629,33.33,66.67,50.00
Board Game,North America,0.06,0.33,0.18181818181818181818,0.50708555135963116308,0.35855524049281021619,66.67,0.00,33.33
Board Game,Other,0.02,0.33,0.06060606060606060606,0.09853041539651485509,0.61510002126921225553,0.00,33.33,16.67
Education,Japan,,0.88,,0.10341386474968530567,,100.00,100.00,100.00
Education,North America,0.60,0.88,0.68181818181818181818,0.50708555135963116308,1.34458215184803831071,66.67,66.67,66.67
Education,Other,0.07,0.88,0.07954545454545454545,0.09853041539651485509,0.80731877791584108535,0.00,33.33,16.67
Education,PAL,0.20,0.88,0.22727272727272727273,0.29029679845913523515,0.78289780830883054871,33.33,0.00,16.67
Fighting,North America,172.30,338.11,0.50959746827955399130,0.50708555135963116308,1.00495363536426488826,100.00,66.67,83.33
Fighting,Japan,58.61,338.11,0.17334595250066546390,0.10341386474968530567,1.67623512495400637843,33.33,100.00,66.67
Fighting,PAL,78.90,338.11,0.23335600839963325545,0.29029679845913523515,0.80385319313978768237,66.67,0.00,33.33
Fighting,Other,28.26,338.11,0.08358226612640856526,0.09853041539651485509,0.84828898558936731429,0.00,33.33,16.67
Misc,North America,291.47,548.58,0.53131721900178643042,0.50708555135963116308,1.04778615280436156152,100.00,66.67,83.33
Misc,Other,57.69,548.58,0.10516241933719785628,0.09853041539651485509,1.06730920512203162318,33.33,100.00,66.67
