genre,recommended_historical_month,supporting_title_count,historical_avg_sales,historical_median_sales,historical_timing_score,evidence_quality
Action,10,422,0.56405213270142180095,0.21,94.55,HIGH
Action-Adventure,2,20,0.60500000000000000000,0.52,92.00,MEDIUM
Adventure,10,257,0.26696498054474708171,0.07,94.55,HIGH
Fighting,10,118,0.47525423728813559322,0.28,89.09,HIGH
Misc,10,339,0.41418879056047197640,0.2,100.00,HIGH
Mmo,6,13,0.35384615384615384615,0.14,0.00,LOW
Music,10,81,0.52481481481481481481,0.27,100.00,HIGH
Party,11,13,0.25461538461538461538,0.13,0.00,LOW
Platform,1,35,0.56114285714285714286,0.29,100.00,MEDIUM
Puzzle,1,37,0.30000000000000000000,0.15,100.00,MEDIUM
Racing,11,272,0.49632352941176470588,0.185,96.36,HIGH
Role-Playing,11,157,0.53273885350318471338,0.15,100.00,HIGH
Shooter,11,285,1.5265263157894737,0.41,100.00,HIGH
Simulation,10,167,0.42425149700598802395,0.18,96.36,HIGH
Sports,8,222,0.72959459459459459459,0.33,100.00,HIGH
Strategy,11,95,0.17294736842105263158,0.08,87.27,HIGH
Visual Novel,5,16,0.02937500000000000000,0.025,77.50,LOW
