platform,release_year,releases,first_observed_year,last_observed_year,lifecycle_position,lifecycle_stage
2600,1977,3,1977,1990,0.00000000000000000000,EARLY
2600,1978,7,1977,1990,0.07692307692307692308,EARLY
2600,1979,1,1977,1990,0.15384615384615384615,EARLY
2600,1980,5,1977,1990,0.23076923076923076923,GROWTH
2600,1981,6,1977,1990,0.30769230769230769231,GROWTH
2600,1982,44,1977,1990,0.38461538461538461538,GROWTH
2600,1983,37,1977,1990,0.46153846153846153846,GROWTH
2600,1984,9,1977,1990,0.53846153846153846154,MATURE
2600,1985,1,1977,1990,0.61538461538461538462,MATURE
2600,1986,1,1977,1990,0.69230769230769230769,MATURE
2600,1987,3,1977,1990,0.76923076923076923077,MATURE
2600,1988,5,1977,1990,0.84615384615384615385,LATE
2600,1989,2,1977,1990,0.92307692307692307692,LATE
2600,1990,1,1977,1990,1.00000000000000000000,LATE
3DO,1994,1,1994,1995,0.00000000000000000000,EARLY
3DO,1995,3,1994,1995,1.00000000000000000000,LATE
3DS,2011,107,2011,2020,0.00000000000000000000,EARLY
3DS,2012,75,2011,2020,0.11111111111111111111,EARLY
3DS,2013,83,2011,2020,0.22222222222222222222,GROWTH
3DS,2014,84,2011,2020,0.33333333333333333333,GROWTH
3DS,2015,77,2011,2020,0.44444444444444444444,GROWTH
3DS,2016,57,2011,2020,0.55555555555555555556,MATURE
3DS,2017,51,2011,2020,0.66666666666666666667,MATURE
3DS,2018,16,2011,2020,0.77777777777777777778,MATURE
3DS,2019,4,2011,2020,0.88888888888888888889,LATE
3DS,2020,2,2011,2020,1.00000000000000000000,LATE
DC,1998,2,1998,2008,0.00000000000000000000,EARLY
DC,1999,15,1998,2008,0.10000000000000000000,EARLY
DC,2000,17,1998,2008,0.20000000000000000000,EARLY
DC,2001,12,1998,2008,0.30000000000000000000,GROWTH
DC,2002,1,1998,2008,0.40000000000000000000,GROWTH
DC,2007,1,1998,2008,0.90000000000000000000,LATE
DC,2008,1,1998,2008,1.00000000000000000000,LATE
DS,2004,16,2004,2020,0.00000000000000000000,EARLY
DS,2005,91,2004,2020,0.06250000000000000000,EARLY
DS,2006,172,2004,2020,0.12500000000000000000,EARLY
DS,2007,361,2004,2020,0.18750000000000000000,EARLY
DS,2008,552,2004,2020,0.25000000000000000000,GROWTH
DS,2009,544,2004,2020,0.31250000000000000000,GROWTH
DS,2010,391,2004,2020,0.37500000000000000000,GROWTH
DS,2011,188,2004,2020,0.43750000000000000000,GROWTH
