game_id,game_title,genre,platform,release_date,comparable_releases_30d
10140,Six Flags Fun Park,Misc,DS,2008-11-11,49
7329,My Stop Smoking Coach: Allen Carr'S Easyway,Misc,DS,2008-11-11,49
5482,Juggler Ds,Misc,DS,2008-11-13,49
9192,Rhythm De Cooking,Misc,DS,2008-11-13,49
3999,Futureu: The Prep Game For Sat,Misc,DS,2008-11-14,48
2372,Deal Or No Deal: The Banker Is Back!,Misc,DS,2008-11-14,48
4723,Hello Kitty Daily,Misc,DS,2008-11-14,48
1814,Clever Kids: Pirates,Misc,DS,2008-11-07,47
8483,Pingu No Waku Waku Carnival!,Misc,DS,2008-11-06,47
1813,Clever Kids: Farmyard Fun,Misc,DS,2008-11-07,47
4984,I Did It Mum! Picture Book,Misc,DS,2008-11-07,47
5895,Korg Ds-10 Synthesizer,Misc,DS,2008-11-04,46
4448,Guitar Rock Tour,Misc,DS,2008-11-04,46
1249,Bratz Kidz,Misc,DS,2008-11-18,45
9036,Rayman Raving Rabbids: Tv Party,Misc,DS,2008-11-18,45
12326,Ultimate Band,Misc,DS,2008-11-18,45
8052,Okada Toshio No Itsumademo Debu To Omounayo: Ds Recording Diet,Misc,DS,2008-11-20,43
4443,Guitar Hero: On Tour Decades,Misc,DS,2008-11-16,43
8287,Pass The Pigs,Misc,DS,2008-10-21,41
2231,Dancing With The Stars: We Dance!,Misc,DS,2008-10-21,41
4788,High School Musical 3: Senior Year,Misc,DS,2008-10-21,41
10000,Shrek'S Carnival Craze Party Games,Misc,DS,2008-10-21,41
935,Bella Sara,Misc,DS,2008-10-28,40
504,Are You Smarter Than A 5th Grader? Make The Grade,Misc,DS,2008-10-20,40
12169,Travel Games For Dummies,Misc,DS,2008-10-28,40
11574,The Naked Brothers Band: The Video Game,Misc,DS,2008-10-20,40
7291,My Dress-Up,Misc,DS,2008-10-23,40
10202,Smart Girl'S Party Game,Misc,DS,2008-10-23,40
10201,Smart Boy'S Winter Wonderland,Misc,DS,2008-10-28,40
9975,Shiseido Beauty Solution Kaihatsu Center Kanshuu: Project Beauty,Misc,DS,2008-11-27,39
11092,Tamagotchi No Kirakira Omisecchi,Misc,DS,2008-11-27,39
5563,Kaite Oboeru: Dora-Gana,Misc,DS,2008-11-27,39
4939,How To Pass Your Driving Test,Misc,DS,2008-11-21,39
9796,Sesame Street: Cookie'S Counting Carnival,Misc,WII,2010-10-20,38
9797,Sesame Street: Elmo'S A-To-Zoo Adventure,Misc,WII,2010-10-20,38
7542,Nazo Nazo & Quiz Ittou Nyuukon Q Mate!,Misc,DS,2008-10-16,38
