genre,platform,region,recommended_historical_month,market_opportunity_score,market_evidence_quality,demand_potential_score,momentum_score,competitive_accessibility_score,platform_fit_score,regional_score,timing_score,platform_fit_title_count,timing_title_count,timing_evidence_quality,scenario_evidence_quality,strategic_scenario_score
Sports,PS4,North America,8,75.45,HIGH,91.25,94.74,23.69,100.00,83.33,100.00,82,222,HIGH,HIGH,88.91
Fighting,PS4,North America,10,75.84,HIGH,71.25,47.37,73.69,100.00,83.33,89.09,41,118,HIGH,HIGH,87.41
Sports,PS4,Other,8,75.45,HIGH,91.25,94.74,23.69,100.00,66.67,100.00,82,222,HIGH,HIGH,86.41
Fighting,PS4,Japan,10,75.84,HIGH,71.25,47.37,73.69,100.00,66.67,89.09,41,118,HIGH,HIGH,84.91
Sports,PS4,PAL,8,75.45,HIGH,91.25,94.74,23.69,100.00,50.00,100.00,82,222,HIGH,HIGH,83.91
Platform,XONE,North America,1,66.91,HIGH,76.25,15.79,57.90,80.00,100.00,100.00,22,35,MEDIUM,HIGH,83.42
Racing,PS4,PAL,11,59.93,HIGH,55.00,21.05,42.11,100.00,83.33,96.36,60,272,HIGH,HIGH,82.93
Action-Adventure,XONE,PAL,2,75.64,HIGH,97.50,68.42,50.00,80.00,83.33,92.00,41,20,MEDIUM,HIGH,82.77
Shooter,XONE,PAL,11,70.31,HIGH,92.50,63.16,36.85,80.00,83.33,100.00,64,285,HIGH,HIGH,82.11
Platform,PS4,North America,1,66.91,HIGH,76.25,15.79,57.90,70.00,100.00,100.00,38,35,MEDIUM,HIGH,80.92
Misc,XONE,North America,10,60.94,HIGH,33.75,36.84,57.90,100.00,83.33,100.00,16,339,HIGH,MEDIUM,80.83
Racing,PS4,North America,11,59.93,HIGH,55.00,21.05,42.11,100.00,66.67,96.36,60,272,HIGH,HIGH,80.43
Action-Adventure,XONE,North America,2,75.64,HIGH,97.50,68.42,50.00,80.00,66.67,92.00,41,20,MEDIUM,HIGH,80.27
Action-Adventure,PS4,PAL,2,75.64,HIGH,97.50,68.42,50.00,70.00,83.33,92.00,59,20,MEDIUM,HIGH,80.27
Fighting,PS4,PAL,10,75.84,HIGH,71.25,47.37,73.69,100.00,33.33,89.09,41,118,HIGH,HIGH,79.91
Puzzle,PS4,North America,1,58.24,HIGH,18.75,0.00,84.21,100.00,83.33,100.00,12,37,MEDIUM,MEDIUM,79.88
Puzzle,PS4,Japan,1,58.24,HIGH,18.75,0.00,84.21,100.00,83.33,100.00,12,37,MEDIUM,MEDIUM,79.88
Shooter,XONE,North America,11,70.31,HIGH,92.50,63.16,36.85,80.00,66.67,100.00,64,285,HIGH,HIGH,79.61
Shooter,PS4,PAL,11,70.31,HIGH,92.50,63.16,36.85,70.00,83.33,100.00,82,285,HIGH,HIGH,79.61
Adventure,PS4,North America,10,55.87,HIGH,8.75,26.32,78.95,100.00,66.67,94.55,76,257,HIGH,HIGH,78.74
Adventure,PS4,Japan,10,55.87,HIGH,8.75,26.32,78.95,100.00,66.67,94.55,76,257,HIGH,HIGH,78.74
Adventure,PS4,PAL,10,55.87,HIGH,8.75,26.32,78.95,100.00,66.67,94.55,76,257,HIGH,HIGH,78.74
Platform,XONE,PAL,1,66.91,HIGH,76.25,15.79,57.90,80.00,66.67,100.00,22,35,MEDIUM,HIGH,78.42
Misc,XONE,Other,10,60.94,HIGH,33.75,36.84,57.90,100.00,66.67,100.00,16,339,HIGH,MEDIUM,78.33
Racing,PS4,Other,11,59.93,HIGH,55.00,21.05,42.11,100.00,50.00,96.36,60,272,HIGH,HIGH,77.93
Action-Adventure,XONE,Other,2,75.64,HIGH,97.50,68.42,50.00,80.00,50.00,92.00,41,20,MEDIUM,HIGH,77.77
Action-Adventure,PS4,North America,2,75.64,HIGH,97.50,68.42,50.00,70.00,66.67,92.00,59,20,MEDIUM,HIGH,77.77
Music,XONE,PAL,10,58.57,HIGH,63.75,31.58,31.58,100.00,66.67,100.00,13,81,HIGH,MEDIUM,77.50
Music,XONE,Japan,10,58.57,HIGH,63.75,31.58,31.58,100.00,66.67,100.00,13,81,HIGH,MEDIUM,77.50
Music,XONE,North America,10,58.57,HIGH,63.75,31.58,31.58,100.00,66.67,100.00,13,81,HIGH,MEDIUM,77.50
Fighting,PS4,Other,10,75.84,HIGH,71.25,47.37,73.69,100.00,16.67,89.09,41,118,HIGH,HIGH,77.41
Shooter,PS4,North America,11,70.31,HIGH,92.50,63.16,36.85,70.00,66.67,100.00,82,285,HIGH,HIGH,77.11
Shooter,XONE,Other,11,70.31,HIGH,92.50,63.16,36.85,80.00,50.00,100.00,64,285,HIGH,HIGH,77.11
Sports,XONE,North America,8,75.45,HIGH,91.25,94.74,23.69,50.00,83.33,100.00,68,222,HIGH,HIGH,76.41
Sports,PS4,Japan,8,75.45,HIGH,91.25,94.74,23.69,100.00,0.00,100.00,82,222,HIGH,HIGH,76.41
Platform,PS4,PAL,1,66.91,HIGH,76.25,15.79,57.90,70.00,66.67,100.00,38,35,MEDIUM,HIGH,75.92
Action-Adventure,PS4,Other,2,75.64,HIGH,97.50,68.42,50.00,70.00,50.00,92.00,59,20,MEDIUM,HIGH,75.27
Action,PS4,PAL,10,59.39,HIGH,70.00,10.53,55.26,70.00,83.33,94.55,179,422,HIGH,HIGH,74.97
Action,PS4,North America,10,59.39,HIGH,70.00,10.53,55.26,70.00,83.33,94.55,179,422,HIGH,HIGH,74.97
Shooter,PS4,Other,11,70.31,HIGH,92.50,63.16,36.85,70.00,50.00,100.00,82,285,HIGH,HIGH,74.61
