platform,release_count,total_sales,sales_per_release,release_share_pct,title_hhi,efficiency_score,presence_score,distribution_score,platform_fit_score
X360,1277,852.24,0.6674,15.74,0.00421,100.00,94.72,87.45,95.54
PS3,1336,838.61,0.6277,16.47,0.00401,93.09,99.66,89.15,93.75
PS4,882,538.30,0.6103,10.87,0.00910,90.06,61.61,47.27,72.25
WII,1340,458.75,0.3424,16.51,0.00269,43.40,100.00,100.00,71.70
XONE,524,268.96,0.5133,6.46,0.00946,73.17,31.60,44.30,55.56
3DS,550,98.02,0.1782,6.78,0.00475,14.82,33.78,83.07,36.62
PC,1135,115.03,0.1013,13.99,0.01207,1.44,82.82,22.87,27.14
PSV,673,62.66,0.0931,8.29,0.00805,0.00,44.09,55.87,24.99
WIIU,147,35.42,0.2410,1.81,0.01463,25.75,0.00,1.79,13.32
NS,250,36.04,0.1442,3.08,0.01485,8.89,8.63,0.00,6.60
