platform,year,release_count,release_share_pct
XONE,2017,137,19.88
XONE,2016,98,16.07
XONE,2015,82,12.87
XONE,2014,59,9.37
XONE,2013,16,3.13
XONE,2018,132,20.00
XB,2003,198,24.15
XB,2001,32,6.30
XB,2002,153,18.02
XB,2008,2,0.12
XB,2007,3,0.24
XB,2006,79,7.56
XB,2005,196,20.02
XB,2004,173,22.44
X360,2006,76,7.27
X360,2018,2,0.30
X360,2017,6,0.87
X360,2016,16,2.62
X360,2015,41,6.44
X360,2014,73,11.59
X360,2013,79,15.43
X360,2012,117,17.01
X360,2011,224,18.01
X360,2010,188,13.65
X360,2009,174,9.98
X360,2008,152,9.41
X360,2007,129,10.21
X360,2005,17,1.74
WW,2011,1,0.08
WW,2009,1,0.06
WS,2001,2,0.39
WS,2002,1,0.12
WS,2000,2,0.51
WS,1999,2,0.60
WIIU,2014,27,4.29
WIIU,2013,42,8.20
WIIU,2012,29,4.22
WIIU,2020,1,3.57
WIIU,2018,1,0.15
WIIU,2017,4,0.58
WIIU,2016,17,2.79
WIIU,2015,27,4.24
WII,2012,42,6.10
WII,2011,165,13.26
WII,2010,269,19.54
WII,2009,352,20.20
WII,2008,281,17.40
WII,2006,30,2.87
WII,2007,170,13.46
WII,2020,3,10.71
WII,2018,2,0.30
WII,2017,1,0.15
WII,2016,1,0.16
WII,2015,5,0.78
WII,2014,7,1.11
WII,2013,15,2.93
SNES,1993,27,60.00
SNES,1999,1,0.30
SNES,1998,2,0.66
SNES,1997,5,2.11
SNES,1996,28,10.37
SNES,1995,50,28.57
SNES,1994,56,57.73
SNES,1991,13,65.00
SNES,1992,15,65.22
SCD,1994,5,5.15
SAT,1999,1,0.30
SAT,1998,32,10.60
SAT,1997,38,16.03
SAT,1996,56,20.74
SAT,1995,46,26.29
SAT,1994,1,1.03
SAT,2020,1,3.57
PSV,2013,44,8.59
PSV,2011,6,0.48
PSV,2012,68,9.88
PSV,2020,1,3.57
PSV,2018,66,10.00
PSV,2017,115,16.69
PSV,2016,129,21.15
PSV,2015,136,21.35
PSV,2014,109,17.30
PSP,2005,82,8.38
PSP,2020,3,10.71
PSP,2016,1,0.16
PSP,2015,4,0.63
PSP,2014,23,3.65
PSP,2013,67,13.09
PSP,2012,118,17.15
PSP,2011,148,11.90
PSP,2010,198,14.38
PSP,2009,201,11.53
PSP,2008,127,7.86
PSP,2007,156,12.35
PSP,2006,197,18.85
PSP,2004,3,0.39
PS4,2018,243,36.82
PS4,2020,4,14.29
PS4,2019,20,57.14
PS4,2017,251,36.43
PS4,2016,193,31.64
PS4,2015,116,18.21
PS4,2014,65,10.32
PS4,2013,14,2.73
PS3,2006,20,1.91
PS3,2020,2,7.14
PS3,2018,1,0.15
PS3,2017,9,1.31
PS3,2016,45,7.38
PS3,2015,83,13.03
PS3,2014,126,20.00
PS3,2013,116,22.66
PS3,2012,157,22.82
PS3,2011,226,18.17
PS3,2010,175,12.71
PS3,2009,156,8.95
PS3,2008,135,8.36
PS3,2007,87,6.89
PS2,2002,269,31.68
PS2,2020,1,3.57
PS2,2016,1,0.16
PS2,2011,7,0.56
PS2,2010,42,3.05
PS2,2009,142,8.15
PS2,2008,229,14.18
PS2,2007,224,17.74
PS2,2006,235,22.49
PS2,2000,63,15.95
PS2,2005,248,25.33
PS2,2004,240,31.13
PS2,2003,254,30.98
PS2,2001,163,32.09
PS,1996,165,61.11
PS,1994,4,4.12
PS,1995,61,34.86
PS,1997,150,63.29
PS,1998,188,62.25
PS,1999,198,59.28
PS,2000,212,53.67
PS,2001,119,23.43
PS,2002,21,2.47
PS,2003,6,0.73
PS,2004,1,0.13
PCFX,1996,1,0.37
PCE,1995,2,1.14
PC,2019,1,2.86
PC,2018,21,3.18
PC,2017,41,5.95
PC,2016,51,8.36
PC,2015,66,10.36
PC,2014,52,8.25
PC,2013,23,4.49
PC,2012,54,7.85
PC,2011,172,13.83
PC,2010,114,8.28
PC,2009,171,9.81
PC,2008,136,8.42
PC,2007,119,9.42
PC,2006,115,11.00
PC,2005,95,9.70
PC,2004,68,8.82
PC,2003,73,8.90
PC,2002,55,6.48
PC,2001,36,7.09
PC,2000,30,7.59
PC,1999,21,6.29
PC,1998,7,2.32
PC,1997,6,2.53
PC,1996,4,1.48
PC,1995,5,2.86
PC,1994,4,4.12
PC,1986,1,9.09
PC,1993,6,13.33
PC,2020,2,7.14
OSX,2009,1,0.06
NS,2018,176,26.67
NS,2017,74,10.74
NS,2020,2,7.14
NS,2019,10,28.57
NG,1994,4,4.12
NG,1993,1,2.22
NG,1996,3,1.11
NG,1995,4,2.29
NES,1987,4,57.14
NES,1986,9,81.82
NES,1984,1,10.00
NES,1985,3,75.00
NES,1994,3,3.09
NES,1993,3,6.67
NES,1992,5,21.74
NES,1991,3,15.00
NES,1990,5,71.43
NES,1989,5,71.43
NES,1988,6,54.55
N64,1997,33,13.92
N64,2002,1,0.12
N64,2001,11,2.17
N64,2000,61,15.44
N64,1999,91,27.25
N64,1998,69,22.85
N64,1996,9,3.33
MOB,2009,1,0.06
GG,1992,1,4.35
GEN,1993,5,11.11
GEN,1995,2,1.14
GEN,1994,19,19.59
GEN,1990,1,14.29
GC,2003,135,16.46
GC,2007,4,0.32
GC,2006,48,4.59
GC,2005,95,9.70
GC,2004,87,11.28
GC,2002,140,16.49
GC,2001,17,3.35
GBC,2002,1,0.12
GBC,2001,2,0.39
GBA,2020,1,3.57
GBA,2007,9,0.71
GBA,2006,73,6.99
GBA,2005,155,15.83
GBA,2004,183,23.74
GBA,2003,154,18.78
GBA,2002,206,24.26
GBA,2001,106,20.87
GB,1991,4,20.00
GB,1992,2,8.70
GB,2002,1,0.12
GB,2001,8,1.57
GB,2000,10,2.53
GB,1999,5,1.50
GB,1998,2,0.66
GB,1997,5,2.11
GB,1996,4,1.48
GB,1995,2,1.14
GB,1993,3,6.67
DS,2013,13,2.54
DS,2020,5,17.86
DS,2016,1,0.16
DS,2014,5,0.79
DS,2012,28,4.07
DS,2011,188,15.11
DS,2010,391,28.40
DS,2009,544,31.21
DS,2008,552,34.18
DS,2007,361,28.58
DS,2006,172,16.46
DS,2005,91,9.30
DS,2004,16,2.08
DC,2002,1,0.12
DC,2001,12,2.36
DC,2000,17,4.30
DC,1999,15,4.49
DC,1998,2,0.66
DC,2008,1,0.06
DC,2007,1,0.08
3DS,2014,84,13.33
3DS,2013,83,16.21
3DS,2011,107,8.60
3DS,2012,75,10.90
3DS,2020,2,7.14
3DS,2019,4,11.43
3DS,2018,16,2.42
3DS,2017,51,7.40
3DS,2016,57,9.34
3DS,2015,77,12.09
3DO,1995,3,1.71
3DO,1994,1,1.03
2600,1983,37,100.00
2600,1990,1,14.29
2600,1989,2,28.57
2600,1988,5,45.45
2600,1978,7,100.00
2600,1984,9,90.00
2600,1979,1,100.00
2600,1980,5,100.00
2600,1981,6,100.00
2600,1982,44,100.00
2600,1987,3,42.86
2600,1986,1,9.09
2600,1977,3,100.00
2600,1985,1,25.00
