genre,top5_publisher_sales,top5_publisher_share_pct,publisher_hhi,concentration_norm,publisher_opportunity_score
Puzzle,21.01,31.92,0.03423,0.0000,100.00
Adventure,93.47,43.35,0.05110,0.0175,98.25
Strategy,23.90,41.06,0.05389,0.0204,97.96
Misc,187.69,46.86,0.05938,0.0260,97.40
Action,360.64,48.24,0.06624,0.0331,96.69
Visual Novel,2.95,53.44,0.08144,0.0489,95.11
Role-Playing,166.50,54.87,0.08910,0.0568,94.32
Fighting,91.53,59.67,0.09512,0.0630,93.70
Racing,142.26,58.80,0.11266,0.0812,91.88
Platform,98.11,66.40,0.12571,0.0947,90.53
Simulation,136.16,67.50,0.13501,0.1043,89.57
Action-Adventure,112.30,76.29,0.16925,0.1398,86.02
Sports,538.40,75.20,0.20184,0.1735,82.65
Shooter,594.54,79.42,0.24580,0.2191,78.09
Party,5.50,91.06,0.29663,0.2717,72.83
Mmo,9.14,100.00,0.43623,0.4163,58.37
Music,44.47,85.54,0.45767,0.4384,56.16
Education,0.76,100.00,0.56787,0.5526,44.74
Board Game,0.33,100.00,0.83104,0.8250,17.50
Sandbox,3.36,100.00,1.00000,1.0000,0.00
