genre,region,region_genre_share_pct,global_genre_share_pct,skew_pct,region_mix_of_genre_pct,regional_signal
Action,PAL,17.92,17.04,0.89,30.54,regional over-index
Action,NA,17.55,17.04,0.51,52.24,regional over-index
Action,OTHER,17.30,17.04,0.27,10.01,regional over-index
Action,JP,11.74,17.04,-5.30,7.13,regional under-index
Action-Adventure,PAL,3.10,2.25,0.85,40.01,regional over-index
Action-Adventure,OTHER,2.83,2.25,0.59,12.42,regional over-index
Action-Adventure,NA,1.94,2.25,-0.30,43.87,neutral
Action-Adventure,JP,0.79,2.25,-1.46,3.64,neutral
Adventure,JP,6.72,4.93,1.79,14.09,regional over-index
Adventure,PAL,4.75,4.93,-0.19,27.94,neutral
Adventure,NA,4.73,4.93,-0.20,48.63,neutral
Adventure,OTHER,4.62,4.93,-0.31,9.24,neutral
Board Game,PAL,0.01,0.01,0.01,66.67,regional over-index
Board Game,JP,0.01,0.01,0.00,12.12,regional over-index
Board Game,NA,0.00,0.01,0.00,18.18,neutral
Board Game,OTHER,0.00,0.01,0.00,6.06,neutral
Education,JP,,0.01,,,neutral
Education,NA,0.02,0.01,0.00,68.18,regional over-index
Education,PAL,0.01,0.01,0.00,22.73,neutral
Education,OTHER,0.01,0.01,0.00,7.95,neutral
Fighting,JP,8.60,5.13,3.47,17.33,strong regional over-index
Fighting,NA,5.15,5.13,0.03,50.96,regional over-index
Fighting,OTHER,4.35,5.13,-0.78,8.36,neutral
Fighting,PAL,4.12,5.13,-1.01,23.34,neutral
Misc,OTHER,8.88,8.32,0.56,10.52,regional over-index
Misc,NA,8.72,8.32,0.40,53.13,regional over-index
Misc,JP,8.06,8.32,-0.26,10.01,neutral
Misc,PAL,7.51,8.32,-0.81,26.22,neutral
Mmo,JP,0.20,0.14,0.05,14.27,regional over-index
Mmo,OTHER,0.16,0.14,0.02,10.99,regional over-index
Mmo,PAL,0.15,0.14,0.01,31.18,regional over-index
Mmo,NA,0.12,0.14,-0.02,43.55,neutral
Music,JP,0.86,0.79,0.07,11.23,regional over-index
Music,PAL,0.79,0.79,0.00,29.12,regional over-index
Music,NA,0.78,0.79,-0.01,50.11,neutral
Music,OTHER,0.76,0.79,-0.02,9.56,neutral
Party,JP,0.17,0.09,0.08,19.16,regional over-index
Party,PAL,0.09,0.09,0.00,29.15,regional over-index
Party,NA,0.08,0.09,-0.01,43.00,neutral
Party,OTHER,0.08,0.09,-0.01,8.37,neutral
Platform,NA,5.69,5.34,0.34,53.98,regional over-index
Platform,PAL,5.24,5.34,-0.10,28.47,neutral
Platform,OTHER,4.73,5.34,-0.61,8.72,neutral
Platform,JP,4.51,5.34,-0.83,8.74,neutral
Puzzle,JP,4.21,1.93,2.28,22.56,strong regional over-index
Puzzle,NA,1.94,1.93,0.01,50.89,regional over-index
Puzzle,PAL,1.35,1.93,-0.58,20.32,neutral
Puzzle,OTHER,1.14,1.93,-0.79,5.84,neutral
Racing,PAL,9.31,7.93,1.39,34.10,regional over-index
Racing,OTHER,8.50,7.93,0.57,10.57,regional over-index
Racing,NA,8.05,7.93,0.12,51.50,regional over-index
Racing,JP,2.91,7.93,-5.02,3.79,regional under-index
Role-Playing,JP,19.12,6.46,12.66,30.61,strong regional over-index
Role-Playing,OTHER,5.19,6.46,-1.27,7.92,neutral
Role-Playing,NA,5.12,6.46,-1.34,40.17,neutral
Role-Playing,PAL,4.75,6.46,-1.71,21.34,neutral
Sandbox,JP,0.13,0.05,0.08,26.79,regional over-index
Sandbox,PAL,0.05,0.05,0.00,31.25,regional over-index
Sandbox,NA,0.04,0.05,-0.02,35.42,neutral
Sandbox,OTHER,0.03,0.05,-0.02,6.25,neutral
Shooter,PAL,17.00,15.12,1.88,32.65,regional over-index
Shooter,OTHER,16.71,15.12,1.59,10.89,regional over-index
Shooter,NA,15.84,15.12,0.72,53.12,regional over-index
Shooter,JP,4.87,15.12,-10.25,3.33,regional under-index
Simulation,JP,5.27,4.55,0.72,11.97,regional over-index
Simulation,NA,4.57,4.55,0.01,50.87,regional over-index
Simulation,PAL,4.53,4.55,-0.03,28.87,neutral
Simulation,OTHER,3.74,4.55,-0.81,8.10,neutral
Sports,OTHER,19.79,18.03,1.76,10.82,regional over-index
Sports,NA,18.25,18.03,0.22,51.32,regional over-index
Sports,PAL,17.88,18.03,-0.15,28.79,neutral
Sports,JP,15.72,18.03,-2.31,9.02,regional under-index
Strategy,JP,5.40,1.80,3.61,31.10,strong regional over-index
Strategy,PAL,1.41,1.80,-0.38,22.87,neutral
Strategy,NA,1.41,1.80,-0.39,39.76,neutral
Strategy,OTHER,1.13,1.80,-0.67,6.17,neutral
Visual Novel,JP,0.72,0.09,0.63,87.34,regional over-index
Visual Novel,OTHER,0.02,0.09,-0.07,2.32,neutral
Visual Novel,NA,0.01,0.09,-0.07,8.91,neutral
Visual Novel,PAL,0.00,0.09,-0.08,0.89,neutral
